name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Call Me When It's Over,Call Me When It’s Over,James Smith,3pg8SqwcnJgHPcnWBY9tVB,2020-05-08,56,227800,0.482,0.627,0.347,3.69E-05,0.144,0.511,-9.776,0.0472,172.732,6,4,Sad
Calm Wilderness,Calm Wilderness,Night Sounds,44Co96UhNfnq258r2VybLE,2019-08-22,52,231723,0.186,0.886,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,7,4,Calm
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,2016-05-06,77,236001,0.667,0.0123,0.83,0,0.191,0.701,-5.715,0.0749,113.03,0,4,Happy
Can't Wait To Be Dead,Can't Wait To Be Dead,FINNEAS,0gqGNbqhZ0RLp3ypz51cHY,2020-10-21,60,175969,0.724,0.0122,0.438,2.91E-05,0.0954,0.322,-8.477,0.0285,99.947,9,4,Sad
Car Underwater,What To Do When You Are Dead,Armor For Sleep,4CilIy3dA3P9Tq2NFqKEOX,2005,52,228706,0.435,0.014,0.774,0,0.127,0.448,-5.052,0.0631,147.466,2,4,Energetic
Celebration,Celebrate!,Kool & The Gang,3K7Q9PHUWPTaknlbFPThn2,1980-09-29,69,298866,0.885,0.145,0.664,0.0483,0.0767,0.906,-11.795,0.0524,121.632,1,4,Happy
céllo,céllo,La+ch,12DV0YPbTgPaogo6gSHOQQ,2021-02-26,42,173202,0.806,0.000537,0.599,0.934,0.107,0.735,-7.049,0.0605,128.002,9,4,Energetic
Chariot,B-Sides and Rarities,Beach House,6dB3Uad2TOaJcGKpM3zizO,2017-06-30,42,316507,0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,4,Sad
Charlie Darwin,Oh My God Charlie Darwin (Standard),The Low Anthem,3MdPDYxD89AcSCaEpkptYq,2009-06-09,26,271800,0.273,0.701,0.138,0,0.0942,0.106,-11.734,0.0313,83.381,0,4,Calm
Charlotte,Charlotte,Sody,7wDn727BWO03K7A4kNoVtw,2020-03-27,0,216624,0.363,0.622,0.339,0.000107,0.0968,0.0484,-10.208,0.133,178.405,0,3,Sad
Chelsea Hotel #1,Chelsea Hotel #1,OK Button,1N7QEJrCUW4p4jnZTAYDdI,2018-11-02,12,113477,0.437,0.763,0.309,9.62E-06,0.111,0.1,-9.351,0.127,79.699,8,4,Calm
Children Of Today,Children Of Today,Blasterjaxx,2106G7MY2XnVyqij2bJVGH,2019-04-19,58,169384,0.507,0.00892,0.836,0.000598,0.485,0.333,-4.357,0.038,130.027,6,4,Energetic
Chocolate,The 1975,The 1975,4WiiRw2PHMNQE0ad6y6GdD,2013-01-01,66,224673,0.614,0.000532,0.938,0,0.368,0.607,-4.461,0.0611,100.058,11,4,Happy
Chop Suey!,Toxicity,System Of A Down,2DlHlPMa4M17kufBvI2lEN,2001-09-04,79,210240,0.419,0.000278,0.934,0.0015,0.132,0.286,-3.908,0.12,127.288,7,4,Energetic
City Lights,City Lights,Marlies du Mosch,5OxyHotdy7y789r3UQcHAB,2020-07-03,26,226266,0.341,0.983,0.0582,0.924,0.097,0.0514,-23.103,0.0472,83.05,8,4,Calm
Clap Your Hands,Clap Your Hands,Sia,18cST7DK31Ab2rTH1POP6A,2010-04-09,44,238466,0.699,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,0,4,Happy
Cleansing,Cleansing,Jacco Wynia,6u1ymcw9MTK9mPGy8XdvEb,2020-05-29,36,304217,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9,4,Calm
Clear Skies,Clear Skies,Dhyana Thomas,7bKMZYXVYzGMvnHiRDCmjy,2019-04-26,51,162085,0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,11,4,Calm
Click Click Boom,Every Six Seconds,Saliva,1LMVGL3030W3mGmRrd2hCm,2001-01-01,0,252400,0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,6,4,Energetic
Coda,Endeavour,Jakob Ahlbom,2TFQPFUqRtgj1auq9b5PlR,2019-10-04,58,180614,0.351,0.93,0.24,0.904,0.101,0.0968,-15.363,0.034,79.919,9,3,Calm
coeur noir,coeur noir,Leo Nocta,0JsYp2UosjQpePYbHCvXWZ,2020-07-17,34,262280,0.235,0.926,0.233,0.89,0.069,0.164,-21.173,0.0712,66.866,11,3,Calm
Cold Arms,Wilder Mind,Mumford & Sons,7kpZ9isu48poYKpaAb0wiR,2015-05-01,0,169906,0.431,0.815,0.144,1.1E-06,0.124,0.0491,-12.07,0.039,137.683,11,4,Sad
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Cold as Stone (Remixes) (feat. Charlotte Lawrence),Kaskade,6chZg1OMXz9VN3MQCr4cNf,2018-05-04,57,228666,0.619,0.237,0.663,0,0.111,0.142,-6.937,0.0366,123.93,7,4,Energetic
Cold Nights,Cold Nights,Camo Columbo,1q3AoLCoawd8Gpm9wP7sHi,2020-01-03,51,189813,0.941,0.321,0.421,9.34E-05,0.0967,0.787,-7.918,0.0583,107.011,11,4,Sad
Colgando,Siesta,Barulinho,2dVvMXDWBY0U7VjCjOjVH9,2020-07-31,36,268800,0.567,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,0,4,Calm
Collapse Into Light,Collapse Into Light,Evin Iris,3jP962JoLAn9p4wCDdx4My,2019-10-18,55,179500,0.305,0.933,0.229,0.904,0.104,0.0562,-18.329,0.0334,121.599,1,4,Calm
Come Home To Me,LÉON,LÉON,2K8elWg8ihrZRwZJ7Gy6L3,2019-03-01,64,225868,0.66,0.953,0.193,0,0.0953,0.296,-8.904,0.0725,82.035,11,4,Calm
Come On Eileen,Too Rye Ay (Deluxe Edition),Dexys Midnight Runners,5uzNa0SBGOe5pPnstWHMCt,1982-08,1,273720,0.466,0.413,0.615,0,0.343,0.812,-9.102,0.0492,108.016,0,4,Happy
Come Out And Play (Keep ‘Em Separated),Greatest Hits,The Offspring,0Yb5Kfpf3boElZNa61wPdJ,2005-06-21,68,197800,0.476,0.0535,0.856,6.75E-06,0.0846,0.847,-3.764,0.161,158.671,7,4,Energetic
comethru,"summer,",Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,2018-09-28,78,181613,0.795,0.607,0.178,0,0.623,0.608,-11.991,0.0574,93.982,0,4,Sad
Coming Home,Coming Home,Zoe Connelly,30ACOtgBj1PqZs1erzFZkU,2019-12-11,51,172818,0.198,0.854,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,5,4,Calm
Coming Undone,Coming Undone,Korn,261QAU5PAmYYv0KPr0vc49,2005,0,199773,0.696,0.000855,0.677,0.000247,0.0646,0.551,-4.178,0.0554,150.125,2,4,Energetic
Consequences,Camila,Camila Cabello,7sTtHHrD0zDpmzQzH3zegz,2018-01-12,74,178466,0.455,0.889,0.292,0,0.106,0.43,-6.792,0.0563,84.339,0,5,Sad
Conversation,Conversation,Lucy Rose,4THgqBGsTYJcNcQWCV92AP,2019-01-10,45,229560,0.242,0.901,0.137,0.0105,0.167,0.0644,-16.332,0.0322,92.454,2,3,Sad
Conversations in the Dark,Conversations in the Dark,John Legend,6TYlDTa9AQDvjqwbxlvFyI,2020-01-10,68,237426,0.372,0.754,0.355,0,0.167,0.142,-8.436,0.03,126.705,8,4,Sad
Cool Girl,Cool Girl,dodie,0FSOenCj42lbikl1vd5ah9,2020-10-19,61,199384,0.73,0.872,0.205,0.0593,0.095,0.206,-15.489,0.0957,124.989,2,4,Sad
Count On You - ATFC's C-thru Remix,Count On You (ATFC's C-thru Remix),Autoerotique,7GL2SOvJXs8QVLX0cUADeq,2018-07-16,42,235594,0.825,0.00735,0.925,0.808,0.057,0.567,-7.502,0.0463,123.025,4,4,Happy
Count That - R3HAB Edit,Count That (R3HAB Edit),Steff da Campo,1J1wnDwBjkFvDVOxNOLVjY,2018-11-09,41,125161,0.686,0.0957,0.955,0.00621,0.0809,0.447,-3.665,0.113,123.978,1,4,Energetic
Counting Flowers,Counting Flowers,EVER,7f6tmZhAL2D9CTLfSyWDHC,2020-09-18,16,188759,0.316,0.615,0.409,5.14E-05,0.306,0.282,-5.959,0.0414,81.813,10,4,Calm
Courage,Courage,Ian Wong,0gj8zftpww3PXx8xea7Ygn,2020-02-28,34,162083,0.635,0.994,0.0302,0.952,0.107,0.237,-26.234,0.0401,83.222,1,1,Calm
Crash,Crash,Chris Malinchak,1FXlhqcYaiw6KuUYtXdtAi,2018-03-07,57,232981,0.689,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126,2,4,Happy
Crawl,Crawl,Blakey,4UwI05z2cvRJpChY8qmOop,2020-05-22,47,188571,0.707,0.63,0.492,0,0.434,0.693,-7.294,0.0766,112.017,4,5,Sad
Crawling In The Dark,Hoobastank,Hoobastank,1eK4KsyjAzr2xJ86Tj5SWa,2001-01-01,0,175026,0.592,0.000295,0.932,7.59E-05,0.138,0.698,-4.491,0.0885,93.675,6,4,Energetic
Crazy,St. Elsewhere,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,2006-04-24,77,177466,0.855,0.0505,0.587,0.00714,0.105,0.64,-4.589,0.0336,111.97,8,4,Happy
Crazy,Crazy,ELYX,410vFdVObZOJAdqWTnfAyM,2020-10-23,41,139485,0.668,6.94E-06,0.847,0.894,0.27,0.269,-5.232,0.0633,126.103,7,4,Energetic
Crazy Horses,Crazy Horses,The Osmonds,6LqbJXriVJyqJCd9jYoPqP,1972-10-14,46,153173,0.512,0.215,0.977,0,0.343,0.731,-4.505,0.0671,120.165,2,4,Happy
Creep,The Best Of,Radiohead,1ytTeSRAU6IRo2itVDwtPv,2008-04-07,0,238640,0.515,0.0102,0.43,0.000141,0.129,0.104,-9.935,0.0369,91.841,7,4,Sad
Crossing,Crossing,The Tides,08Q4GyxnB8ak1ZwHnjwova,2020-03-19,40,153103,0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116,0,4,Calm
cry on airplanes,cry on airplanes,Julian,1elEZGOMFRU5n7bnOtUaqi,2020-04-10,40,226000,0.763,0.548,0.372,0.000638,0.116,0.76,-7.07,0.0683,85.01,5,4,Sad
Crying Over You,Crying Over You,The Band CAMINO,53bCcVMGv0S2aIYvfju2Tt,2020-07-31,66,178949,0.463,0.679,0.411,0,0.0453,0.163,-8.25,0.0414,147.3,11,4,Sad
Crystal Baller - 2006 Remaster,A Collection,Third Eye Blind,0uESMJnrEKYnZoRbNTvmpB,2006-07-18,31,255760,0.379,0.0142,0.695,1.13E-05,0.196,0.432,-5.922,0.0705,193.672,0,4,Energetic
Crystal Shores,Crystal Shores,Dean Valio,0gUAGl4nHShy1dzHikQKKU,2019-05-24,51,170958,0.482,0.958,0.0257,0.923,0.104,0.144,-26.303,0.0323,109.98,9,4,Calm
cul de sac,cul de sac,trayer tryon,17EwIxh2j0710mB2lGO10p,2020-09-01,31,354843,0.149,0.946,0.411,0.922,0.3,0.192,-14.344,0.0371,104.926,0,4,Calm
Curiosity,Curiosity,Beau Projet,3WEdWvAScE1EcBfErseQnC,2019-03-21,60,155820,0.43,0.985,0.256,0.867,0.106,0.173,-22.088,0.0641,133.955,2,4,Calm
Curious Morning,Curious Morning,Michael Orvind,5lZyYNi8OfFWKiX1p9zDQP,2020-07-14,36,182222,0.391,0.969,0.231,0.954,0.116,0.0882,-17,0.0363,107.981,3,4,Calm
Cursive,As Long As - EP,Billie Marten,5Iy1wdO0tMaHwKnfFYtlel,2015-11-13,62,240400,0.494,0.935,0.267,5.58E-05,0.128,0.166,-11.54,0.0308,115.117,0,3,Sad
Daar Gaat Ze,Clouseau30,Clouseau,7kMPC3vgXk3o9xUP3GWAJ0,2017-09-01,5,227906,0.639,0.78,0.492,0,0.117,0.666,-8.497,0.0288,87.033,5,4,Happy
Dance Little Sister,Introducing The Hardline According To Terence Trent D'Arby,Terence Trent D'Arby,4o9Kj7onklt6xbYl3jVArp,1987-07-06,53,234640,0.722,0.161,0.696,0,0.0755,0.93,-11.095,0.0901,115.397,2,4,Happy
Dancing On My Own,Dancing On My Own,Calum Scott,02WacdrRpm4zlP8H7X6bnQ,2016-06-03,9,260004,0.608,0.851,0.174,1.92E-05,0.0855,0.193,-8.796,0.0332,112.175,1,4,Sad
Dancing Queen,Arrival,ABBA,4NtUY5IGzHCaqfZemmAu56,1976,9,230693,0.539,0.382,0.884,0.00166,0.76,0.752,-6.53,0.0403,100.812,9,4,Happy
Dancing Through Sunday,Sing The Sorrow,AFI,4O5GKVbnQ8U9BxYWu0hIug,2003,47,146666,0.555,0.00291,0.98,0,0.279,0.643,-2.849,0.0947,114.078,3,4,Energetic
Dancing With an Astronaut,Dancing With an Astronaut,Ellie Rose,43cElHKBLhVdsz0cPETPIj,2019-09-27,41,168141,0.516,0.487,0.407,0.0235,0.252,0.17,-7.841,0.0283,74.894,9,4,Sad
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Sloan,1TQXIltqoZ5XXyfCbAeSQQ,2019-06-28,78,197732,0.629,0.761,0.327,2.96E-05,0.103,0.381,-8.285,0.029,74.953,11,4,Sad
Dani California,Stadium Arcadium,Red Hot Chili Peppers,10Nmj3JCNoMeBQ87uw5j8k,2006-05-09,77,282160,0.556,0.0193,0.913,8.59E-06,0.346,0.73,-2.36,0.0437,96.184,0,4,Energetic
Dark Side of the Gym,Sleep Well Beast,The National,1OdpIb0nzhDcqwkiYp0O1u,2017-09-08,52,290093,0.642,0.726,0.475,0.786,0.12,0.453,-11.404,0.0294,103.955,2,3,Sad
Darkest Hour,Darkest Hour,Low Roar,36I7pi5g6XZJm3bcgqmLyE,2019-10-18,29,179520,0.694,0.612,0.359,0.738,0.137,0.348,-16.105,0.0408,125.077,9,4,Sad
Dawning,Dawning,Light of Sun,56ag77KIUFvxJhA1gdObsq,2019-08-26,58,206419,0.526,0.64,0.471,0.817,0.096,0.286,-11.965,0.0424,119.972,0,4,Calm
Day 5: For Carol,5 Day Mischon,Tom Misch,3JjeC1epY5y2Jysxn5FVCB,2017-03-31,56,394862,0.485,0.765,0.497,0.886,0.132,0.065,-10.022,0.0308,100.857,2,4,Calm
De Fléche,De Fléche,Les Manger Tous,5vymVJ2WUlLnMeQqrgwQx8,2019-09-30,52,233062,0.435,0.668,0.333,0.834,0.084,0.074,-15.885,0.0308,90.902,8,4,Calm
Dear Diary,Dear Diary,Anthony Ramos,5AqPW3fH2H4ORBYTVwfHep,2019-07-19,0,216933,0.474,0.587,0.41,3.97E-06,0.114,0.37,-9.373,0.0644,125.085,7,3,Sad
Deep Dark Jungle,Deep Dark Jungle,Nicky Romero,0FTDvOs2mzgHAqL31PBXO5,2019-03-08,0,145714,0.587,0.000405,0.97,0.772,0.202,0.146,-4.512,0.216,128.069,8,4,Happy
Den inre skogen,Den inre skogen,Thomas Jackson,0Zl6KnmirT1PeGZvAZY9T1,2020-01-30,55,229657,0.532,0.924,0.382,0.61,0.134,0.0455,-17.683,0.0543,127.038,9,4,Calm
Desire Lines,Split,Lush,63JP68VirmCXtWRoMTX8Xi,1994,39,459506,0.379,0.000169,0.652,0.0043,0.077,0.0724,-5.406,0.0325,121.035,9,4,Sad
Desperate Measures,Desperate Measures,Yore,39z3F1vTbPCfffJHPxD09A,2019-05-31,0,192334,0.269,0.483,0.227,4.43E-05,0.11,0.128,-12.804,0.0304,99.211,1,3,Calm
Devotion And Desire,Bayside,Bayside,27O9FuS1UIm6ZyLplgLQAH,2005-08-23,54,209626,0.296,0.000702,0.9,0,0.339,0.286,-4.918,0.0922,184.256,2,4,Energetic
Dew Drops,Vortex,Pieter de Graaf,0NnFglDnuZH6qKuvhZpB0r,2019-10-11,50,335636,0.27,0.939,0.0384,0.936,0.1,0.0708,-24.513,0.0361,59.81,11,4,Calm
Diamonds - Acoustic,Diamonds (Acoustic),Sam Smith,4y8OZW2dyWRobsi2w0C64W,2020-10-09,59,194541,0.489,0.841,0.284,0,0.137,0.335,-8.699,0.0508,186.337,10,4,Sad
Die Young - Original Mix,Die Young,DJ Fixx,4nq3CzOHpNlzf1297h4bdB,2020-09-04,52,205500,0.516,0.00132,0.981,0.0949,0.192,0.545,-2.983,0.0782,160.127,8,4,Energetic
Distant Land,Distant Land,Garrett Kato,4LkT6t2o3URthSNIoUQ7xc,2019-06-14,41,201000,0.54,0.638,0.456,0.0345,0.102,0.409,-11.905,0.0303,82.05,1,4,Calm
Dive,The Soft Cavalry,The Soft Cavalry,5TvkWUGywzfVF5HQ9uySVF,2019-07-05,0,255384,0.434,0.0418,0.531,0.00021,0.0941,0.0935,-10.05,0.0305,156.155,2,4,Sad
Dizzy,Dizzy,Kovan,0Smq3v26IgZA7hM5jPPFuM,2021-03-05,52,177000,0.548,0.0731,0.7,0.00737,0.102,0.103,-7.048,0.122,159.939,2,4,Energetic
Do Bad Well (feat. Nevve),Do Bad Well (feat. Nevve),KSHMR,7zHrHnVSQwI95FGHewXDl8,2019-10-11,62,204374,0.604,0.0512,0.894,0.000315,0.234,0.415,-4.755,0.113,127.964,5,4,Energetic
Do It Again,Do It Again,Steve Aoki,5yzzy7Hevww3RDntQM5mG1,2019-04-19,0,176129,0.701,0.119,0.95,0.00355,0.221,0.477,-3.026,0.0675,124.002,9,4,Energetic
Dolerme,Dolerme,ROSALÍA,2reL9PAUza4PUtbjqW1fRf,2020-03-24,68,143975,0.545,0.785,0.478,0.00278,0.123,0.318,-7.035,0.0559,173.746,8,4,Sad
Don't Need Love - Acoustic,Don't Need Love (Acoustic),220 KID,7wXCmUm9LMYdhhRkHzxt4L,2020-04-24,56,180466,0.628,0.882,0.303,0,0.101,0.47,-8.63,0.0319,114.762,7,4,Sad
Don't Stop,Rumours,Fleetwood Mac,4SXU3lUZ1eb4JWWbkQw43Y,1977-02-04,0,192133,0.686,0.0398,0.632,2.2E-06,0.0686,0.88,-11.433,0.0353,118.965,9,4,Happy
Don't Stop Believin',The Essential Journey,Journey,77NNZQSqzLNqh2A9JhLRkg,2001-10-16,74,248906,0.491,0.25,0.802,0,0.387,0.472,-7.106,0.0392,119.25,4,4,Happy
Don't Stop Me Now - 2011 Mix,Jazz (Deluxe Remastered Version),Queen,7hQJA50XrCWABAu5v6QZ4i,1978-11-10,74,209413,0.563,0.0472,0.865,0.000191,0.77,0.601,-5.277,0.16,156.271,5,4,Happy
Don't Worry Be Happy,The Collection,Bobby McFerrin,5YbgcwHjQhdT1BYQ4rxWlD,1997-01-01,67,292400,0.681,0.881,0.163,7.62E-05,0.0688,0.771,-22.597,0.165,69.283,11,4,Happy
Don't You (Forget About Me) - Remastered,Celebrate (Greatest Hits),Simple Minds,0A4PZuepTcIQVvA5m7R0M1,2013-03-25,11,263973,0.602,0.00398,0.784,0.0852,0.0931,0.918,-7.976,0.0313,133.019,11,4,Happy
Don't You Dare,Don't You Dare,Winnie Raeder,4NCjNWpT35pN9LAWKn8sUQ,2019-04-25,34,182231,0.355,0.938,0.107,0,0.104,0.208,-10.839,0.0503,172.706,0,3,Calm
Don’t Delete The Kisses,Visions Of A Life,Wolf Alice,1LomCMl5wD3MPVlC6smUHe,2017-09-29,59,275226,0.604,0.0011,0.789,0.828,0.368,0.348,-6.259,0.0273,122.032,5,4,Sad
Down On The Corner,Willy And The Poor Boys (40th Anniversary Edition),Creedence Clearwater Revival,4YMLW13PuuO7o3jkIWlKAs,1969-11-02,0,166280,0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,0,4,Happy
Down With Your Love,Down With Your Love,RIOT,7Giip1UJawrbpp4HqzFBFY,2020-10-14,51,299317,0.529,0.00428,0.995,0.179,0.41,0.268,-0.503,0.0931,149.987,7,4,Energetic
Dragula,Hellbilly Deluxe,Rob Zombie,6Nm8h73ycDG2saCnZV8poF,1998-01-01,70,222826,0.591,8.74E-05,0.963,0.000107,0.0781,0.609,-6.489,0.0531,125.03,0,4,Energetic
Dreams Tonite,Antisocialites,Alvvays,0DRvClQbN9znQ295sx76VC,2017-09-08,62,196026,0.511,0.0108,0.622,4.51E-06,0.127,0.425,-5.727,0.0242,99.934,2,4,Sad
Drifting,Drifting,Eroded Sky,157kvk58Qr04AiuDv2aQWd,2020-04-23,56,194571,0.616,0.71,0.202,0.678,0.0871,0.0773,-14.144,0.0383,139.857,11,4,Calm
Driver's Seat,Fickle Heart (Plus Two Bonus Cuts),Sniff 'n' The Tears,0fJFBbpUxTwjhh1ScBQjeX,1978,56,240746,0.754,0.0186,0.804,0.0604,0.207,0.972,-7.189,0.0368,132.967,11,4,Happy
drivers license,drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,2021-01-08,95,242013,0.585,0.721,0.436,1.31E-05,0.105,0.132,-8.761,0.0601,143.874,10,4,Sad
Duality,Vol. 3: The Subliminal Verses,Slipknot,61mWefnWQOLf90gepjOCb3,2004,76,252613,0.354,0.000237,0.982,0.000294,0.204,0.194,-3.026,0.168,143.772,4,4,Energetic
Duck And Run,The Better Life,3 Doors Down,0s8OsDxW96cl290PcsI2mX,2000,43,230600,0.524,0.0149,0.919,7.05E-05,0.131,0.848,-5.505,0.0436,87.931,4,4,Energetic
Dust On The Ground,Flaws,Bombay Bicycle Club,2SbIONplUQ0BvXyRgGDgCz,2010-01-01,0,243752,0.605,0.757,0.319,0.00237,0.116,0.273,-10.892,0.0306,109.603,10,4,Sad
Eagle,Eagle,Ansatz Der Maschine,7uI4m3uAKy2WWH1mJZAYzO,2019-12-13,28,226400,0.339,0.937,0.142,0.91,0.0847,0.121,-21.613,0.0416,109.98,10,4,Calm
Easily,A Song For Every Moon,Bruno Major,2k9N4caeCIJLOWwWwssrEM,2017-08-31,76,210240,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,7,3,Sad
Easy Lover,Chinese Wall,Philip Bailey,7INi4pMPG4IE0Smx5y4KVf,1985-03-20,68,304506,0.749,0.0674,0.699,0.00192,0.0763,0.935,-13.108,0.0371,128.904,1,4,Happy
Eden - Hunted Version,Hunted,Anna Calvi,5zfsg3FNA03fCUZzW2a9Fr,2020-03-06,35,257815,0.158,0.965,0.0963,0.105,0.0752,0.0395,-18.225,0.0398,71.012,0,4,Sad
Edge of Seventeen,Crystal Visions...The Very Best of Stevie Nicks,Stevie Nicks,2id8E4WvczfKHB4LHI7Np3,2007-03-27,70,329680,0.59,0.277,0.828,5.57E-06,0.0868,0.636,-6.28,0.0439,111.353,0,4,Happy
EDM Sux,EDM Sux,FTampa,6AlzF33SOFB8vfrmABo0jV,2018-11-09,49,155625,0.653,0.00775,0.907,0.82,0.342,0.238,-5.877,0.11,128.079,7,4,Energetic
Eidolon,Eidolon,Monocle Twins,6KuzTwyczjBp1C4f60Y5ID,2020-01-24,54,257668,0.553,0.862,0.24,0.946,0.0932,0.164,-19.522,0.0304,128.986,10,3,Calm
Electronic Memories (feat. Mickey Kojak),Find Paradise,k?d,2viJufnGlsjR1X51CEHpeg,2018-10-05,51,237346,0.602,0.0992,0.926,0.0449,0.241,0.574,-1.62,0.0897,100.014,5,4,Energetic
Elsewhere,Elsewhere,Minke,28WzLDIBpcD5UhWIOktTrr,2020-05-01,49,272727,0.549,0.926,0.186,0.0004,0.151,0.199,-13.781,0.0274,110.152,0,4,Sad
Emotions in Motion,Emotions in Motion,Jaakko Eino Kalevi,4UmpEQtTlhBOxDPePaK8qR,2018-08-01,23,256906,0.651,0.199,0.503,0.644,0.0781,0.558,-10.906,0.0323,133.044,0,4,Sad
Empty Street at Night,Empty Street at Night,Golden Sleep,6CY6TBcuh13KEk34pMnZA8,2020-06-05,32,307000,0.211,0.903,0.0147,0.935,0.342,0.0667,-22.964,0.0456,169.899,2,3,Calm
Enemy,Seasons - Clean,Sevendust,3eqyYjMYUHGlmtCP4C4iSX,2003-10-07,43,183400,0.572,0.000181,0.99,0.000295,0.118,0.397,-1.992,0.066,106.912,1,4,Energetic
Escape (feat. Aubren Elaine),Escape (feat. Aubren Elaine),PatrickReza,6qt3w5DIQBlk0MbOLiFHsy,2016-09-27,36,198000,0.593,0.0607,0.829,0.0319,0.0534,0.477,-5.066,0.0763,160.012,7,4,Energetic
Escaping Time,Floating,Benjamin Martins,7JrSIPcfkWhDzxWII8Jz7V,2019-10-21,60,200346,0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,10,4,Calm
Essential Attitudes,Honey,Peals,0T3UHut7JmCi5jcgYiMawm,2016-09-16,50,217987,0.444,0.449,0.497,0.722,0.081,0.25,-12.601,0.0383,99.093,5,4,Calm
Event Horizon,Event Horizon,Airwaves,7lSHfDPdyGdRyG234h5ToK,2018-10-30,57,310666,0.464,0.0665,0.38,0.898,0.114,0.0558,-8.052,0.0279,100.006,7,3,Calm
Everglow,Everglow,Coldplay,6aG68QSwv0hgNTq90I2GOE,2016-11-10,63,227506,0.425,0.968,0.257,0.0181,0.115,0.341,-8.467,0.0321,144.479,4,4,Calm
Every Kinda People,Double Fun,Robert Palmer,5jkUfQV3wlplyoz0PUja09,1978-01-01,0,199200,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6,4,Happy
Every Time I Hear That Song,"By The Way, I Forgive You",Brandi Carlile,0hoRmVUp5cZ1empu0nSHU8,2018-02-16,58,241146,0.577,0.544,0.53,3.29E-06,0.103,0.22,-6.749,0.0312,85.471,7,4,Calm
Every Way,Every Way,Antonio Giacca,4xxyCh7xkK30LVBO81poif,2018-07-20,49,166211,0.879,0.019,0.908,2.62E-06,0.309,0.759,-4.422,0.126,123.036,11,4,Energetic
Everybody Hurts,Part Lies Part Heart Part Truth Part Garbage 1982-2011,R.E.M.,0sSxUKtpE11r5VVx1DIMww,2011-11-11,0,316880,0.282,0.568,0.476,0.0185,0.157,0.186,-6.524,0.0274,187.604,2,3,Sad
Everyday People,R&B: From Doo-Wop To Hip-Hop,Various Artists,7lL2lMWNtzOcf5HnEudNgn,1999-10-08,63,139506,0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,7,4,Happy
Exhale - Edit,Exhale,Jónsi,1kuZYUny8zNJ2whFQIMWEb,2020-04-23,22,242800,0.27,0.495,0.358,0.198,0.151,0.113,-11.168,0.0308,95.936,5,4,Calm
Expedition,Expedition,Skytech,2MlnLVsrTJmHmdpzJQcQ6w,2019-09-20,51,150947,0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130,7,4,Happy
Faces,Scary Kids Scaring Kids,Scary Kids Scaring Kids,2G7cxwbFSMneFgTMdnvICw,2007-09-25,43,205706,0.368,3.44E-05,0.967,3.44E-05,0.317,0.537,-3.464,0.0566,194.982,2,4,Energetic
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,240133,0.567,0.839,0.267,1.46E-06,0.089,0.0592,-6.502,0.0299,110.011,4,4,Sad
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,86,240133,0.567,0.839,0.267,1.46E-06,0.089,0.0592,-6.502,0.0299,110.011,4,4,Sad
Falling Ashes,Slowdive,Slowdive,6Zr0mt1HdVUwTEdMwqPXsC,2017-05-05,45,480758,0.332,0.954,0.255,0.752,0.0784,0.134,-13.698,0.0309,187.786,9,4,Sad
Falling Asleep,Falling Asleep,Tiz McNamara,1FunUekKzZ9Mgt3BMYCrfF,2019-10-25,53,202400,0.537,0.899,0.201,0.00163,0.077,0.196,-12.948,0.033,134.087,2,4,Sad
